"Language","original","english","german","czech","russian","polish","hungarian","italian","spanish","french","portuguese","japanese","chinesesimp","chinese",
"duration","duration","duration","Dauer","trvání","Продолжительность","Czas trwania pomocy","tartam","Durata","Duración","Durée","Duração","期間","持续时间","持續時間"
"i_will","I want","I want","Ich möchte","Chci","Хочу взамен","Chciałbym","Akarom","Vorrei","Me gustaría","Je souhaiterais","Eu gostaria","したい","我想","我想"
"i_give","I give","I give","Ich gebe","Dávám","Продаю","daję","Adom","Io do","Doy","Je donne","eu dou","あげる","我给","我給"
"player_want_to_have","Player want to have","Player want to have","Spieler möchte haben","Hráč chce mít","Продавец хочет","Gracz chciałby mieć","A játékosnak akarja","Il giocatore vorrebbe avere","Al jugador le gustaría tener","Le joueur aimerait avoir","O jogador gostaria de ter","プレイヤーが持ちたい","玩家想拥有","玩家想擁有"
"my_inventory","Inventory","Inventory","Inventar","inventář","Мой инвентарь","Spis inwentarza","leltár","Inventario","Inventario","Inventaire","Inventário","在庫","盘点","盤點"
"you_can_not_make_yourself_an_offer","You can not make yourself an offer.","You can not make yourself an offer","Du kannst dir nicht selber ein Angebot machen!","Nemůžete udělat nabídku sami!","Ты не можешь сделать себе предложение!","Nie możesz złożyć sobie oferty!","Nem tehet ajánlatot magadnak!","Non puoi farti un'offerta!","¡No puedes hacerte una oferta!","Vous ne pouvez pas vous faire une offre !","Você não pode fazer uma oferta a si mesmo!","自分で申し込むことはできません！","您不能自己报价！","您不能自己報價！"
"you_can_not_make_an_empty_offer","You can not make an empty offer.","You can not make an empty offer.","Du kannst kein leeres Angebot erstellen!","Nemůžete vytvořit prázdnou nabídku!","Вы не можете создать пустое предложение!","Nie możesz stworzyć pustej oferty!","Nem hozhat létre üres ajánlatot!","Non è possibile creare un'offerta vuota!","¡No puedes crear una oferta vacía!","Vous ne pouvez pas créer une offre vide !","Você não pode criar uma oferta vazia!","空のオファーを作成することはできません！","您不能创建一个空的报价！","您不能創建一個空的報價！"
"offer_not_exists","Offer does´t exists","Offer does´t exists","Das Angebot existiert nicht (mehr)","Nabídka již neexistuje","Предложения не существует (больше нет).","Oferta nie istnieje (już)","Az ajánlat már nem létezik","L'offerta non esiste (più)","La oferta no existe (ya)","L'offre n'existe pas (plus)","A oferta não existe (já não existe)","オファーはもう存在しません","优惠已不存在","優惠已不存在"
"you_can_only_use_your_own_order","You can take only bids for your offers.","You can take only bids for your offers.","Du kannst nur Gebote für dein Angebot annehmen","Nabídky můžete přijímat pouze za svou nabídku","Вы можете принимать ставки только на ваше предложение","Możesz przyjmować tylko oferty na swoją ofertę","Csak az ajánlatokat fogadhatja el","Potete accettare solo offerte per la vostra offerta","Sólo puede aceptar ofertas por su oferta","Vous pouvez uniquement accepter des offres pour votre offre","Você só pode aceitar ofertas para a sua oferta","オファーの入札のみを受け入れることができます","您只能接受要约的出价","您只能接受要約的出價"
"you_can_not_accept_your_own_order","You cant accept your own bid.","You cant accept your own bid.","Du kannst nicht deine eigenen Gebote annehmen","Nemůžete přijímat svá vlastní přikázání","Вы не можете принять свои собственные заповеди","Nie możecie przyjąć własnych przykazań","Nem fogadhatja el a saját parancsolatait","Non puoi accettare i tuoi stessi comandamenti","No puedes aceptar tus propios mandamientos","Vous ne pouvez pas accepter vos propres offres","Você não pode aceitar suas próprias ofertas","自分の戒めを受け入れることはできません","你不能接受自己的诫命","你不能接受自己的誡命"
"player_offer_not_exists","Player offer does´t exists (anymore)","Player offer does´t exists (anymore)","Das Angebot des Spielers existiert nicht(mehr)",
"detail","Detail","Detail","Details","Detail","Подробности","Szczegół","Részlet","Dettaglio","Detalle","Détail","Detalhe","詳細","详情","詳情",
"message_from_player","Hint from player","Hint from player","Hinweis vom Spieler","Nápověda od hráče","Комментарий от игрока","Wskazówka od gracza","Tipp a játékoshoz","Suggerimento del giocatore","Sugerencia del jugador","Indice du joueur","Dica do jogador","プレイヤーからのヒント","玩家提示","玩家提示",
"attachments","Attachments","Attachments","Anbauten","Přílohy","Дополнения","Załączniki","Mellékletek","allegati","Archivos adjuntos","Pièces jointes","Anexos","添付ファイル","附件","附件",
"items","Items","Items","Gegenstände","Položky","Предметы","Przedmiotów","példány","Elementi","Artículos","Articles","Itens","アイテム","物品","物品",
"player","Player","Player","Spieler","Hráč","Игрок","Gracz","Játékos","Giocatore","Jugador","Joueur","Jogador","プレーヤー","播放器","播放器",
"my_offers","Show My Offers","Show My Offers","Zeige meine Angebote","Zobrazit mé nabídky","Показать мои предложения","Pokaż moje oferty","Mutasd az ajánlatokat","Mostra le mie offerte","Mostrar mis ofertas","Afficher mes offres","Mostrar minhas ofertas","マイオファーを表示","显示我的优惠","顯示我的優惠",
"all_offers","Show All Offers","Show All Offers","Zeige alle Angebote","Zobrazit všechny nabídky","Показать все предложения","Pokaż wszystkie oferty","Összes ajánlat megjelenítése","Mostra tutte le offerte","Mostrar todas las ofertas","Afficher toutes les offres","Exibir todas as ofertas","すべてのオファーを表示","显示所有优惠","顯示所有優惠",
"bid","Bid","Bid","Gebot","Nabídka","предложение","Stawka","kínálat","Offerta","Oferta","Offre","Licitação","入札","出价","出價",
"bids","Bids","Bids","Gebote","Nabídky","Инфо","Oferty","Ajánlatok","offerte","Ofertas","Enchères","Lances","入札","竞标","競標",
"delete_my_offer","Delete my Offer","Delete my Offer","mein Angebot löschen","Smazat mou nabídku","Удалить мое предложение","Usuń moją ofertę","Törölje ajánlatomat","Elimina la mia offerta","Eliminar mi oferta","Supprimer mon offre","Excluir minha oferta","オファーを削除","删除我的报价","刪除我的報價",
"delete_my_bid","Delete my Bid","Delete my Bid","mein Gebot löschen","Smazat nabídku","Убрать запрос","Usuń moją ofertę","Törölje az Ajánlatamat","Elimina la mia offerta","Eliminar mi oferta","Supprimer mon offre","Excluir meu lance","入札を削除","删除我的出价","刪除我的出價",
"create_bid","Create Bid","Create Bid","Gebot erstellen","Vytvořit nabídku","Создать ставку","Utwórz ofertę","Ajánlat létrehozása","Crea offerta","Crear oferta","Créer une enchère","Criar lance","入札を作成","建立竞标","建立競標",
"market_offers","Market Offers","Market Offers","Markt Angebote","Nabídky na trhu","Предложения игроков","Oferty rynkowe","Piaci ajánlatok","Offerte di mercato","Ofertas de mercado","Offres de marché","Ofertas do mercado","マーケットオファー","市场报价","市場報價",
"main_menu","Main Menu","Main Menu","Hauptmenü","Hlavní menu","Главное меню","Menu główne","Főmenü","Menu principale","Menú principal","Menu principal","Menu principal","メインメニュー","主菜单","主菜單",
"create_offers","Create Offer","Create Offer","Angebot erstellen","Vytvořit nabídku","Выставить на продажу","Utwórz ofertę","Ajánlat létrehozása","Crea offerta","Crear oferta","Créer une offre","Criar Oferta","オファーを作成","创建报价","創建報價",
"create","Create","Create","Erstellen","Vytvořit","Создайте","Stwórz","teremt","Creare","Crear","Créer","Crio","作成する","创建","創建",
"take_offer","Take offer","Take offer","Angebot annehmen","Využijte nabídku","Принять предложение","Skorzystaj z oferty","Vegye ajánlatot","Prendi l'offerta","Toma la oferta","Faire une offre","Aceitar oferta","申し込む","接受报价","接受報價",
"you_can_only_remove_your_own_offer","You can only remove your own offer.","You can only remove your own offer.","Du kannst nur deine Angebote löschen","Můžete odebrat pouze svou vlastní nabídku.","Вы можете удалить только свое собственное предложение.","Możesz usunąć tylko własną ofertę.","Csak a saját ajánlatát veheti el.","Puoi rimuovere solo la tua offerta.","Solo puedes eliminar tu propia oferta.","Vous ne pouvez supprimer que votre propre offre.","Você só pode remover sua própria oferta.","自分のオファーのみを削除できます。","您只能删除自己的报价。","您只能刪除自己的報價。",
"desc","Description","Description","Beschreibung","Popis","Описание","Opis","Leírás","Descrizione","Descripción","La description","Descrição","説明","描述","描述",
"bid_management","Bid Management","Bid Management","Gebotsverwaltung","Správa nabídek","Управление запросами","Zarządzanie ofertami","Ajánlatok kezelése","Gestione delle offerte","Gestión de ofertas","Gestion des enchères","Gerenciamento de lances","入札管理","投标管理","投標管理",
"accepted_bids","accepted bids","accepted bids","angenommene Angebote","přijaté nabídky","Принятые","zaakceptowane oferty","elfogadott ajánlatok","offerte accettate","ofertas aceptadas","offres acceptées","lances aceitos","受け入れられた入札","接受的出价","接受的出價",
"not_accepted_bids","not accepted bids","not accepted bids","nicht angenommene Angeboe","nepřijaté nabídky","Отклоненные","nieakceptowane oferty","nem elfogadott ajánlatok","offerte non accettate","ofertas no aceptadas","offres non acceptées","lances não aceitos","受け入れられていない入札","不接受的出价","不接受的出價",
"open_bids","open bids","open bids","offene Angebote","otevřené nabídky","открытые заявки","otwarte oferty","nyitott ajánlatok","offerte aperte","ofertas abiertas","offres ouvertes","lances abertos","公開入札","公开竞标","公開競標",
"take_to_inventory","take to my inventorry","take to my inventorry","Ab ins Inventar","vzít k mému vynálezci","взять в мой инвентарь","zabrać do mojego ekwipunku","vigyem a készletbe","prendi il mio inventorry","llevar a mi inventario","porter à mon inventaire","leve ao meu inventorry","私の発明に取り掛かる","盘点我的库存","盤點我的庫存",
"manage_my_bid","my bids","my bids","meine Gebote","moje nabídky","Мои запросы","moje oferty","ajánlataim","le mie offerte","mis ofertas","mes offres","meus lances","私の入札","我的出价","我的出價",
"no_bids","you have no bids created","you have no bids created","keine Gebote vorhanden","nemáte vytvořeny žádné nabídky","у вас нет созданных ставок","nie masz utworzonych ofert","nem hozott létre ajánlatot","non hai creato offerte","no tienes ofertas creadas","vous n'avez créé aucune enchère","você não tem lances criados","入札は作成されていません","您没有创建任何出价","您沒有創建任何出價",
"can_not_tade_not_in_near","You can not trade. You are not in near of Trader","You can not trade. You are not in near of Trader","Du kannst nicht handeln. Du bist nicht in der Nähe des Händlers","Nemůžete obchodovat. Nejste v blízkosti Traderu","Вы не можете торговать. Вы не рядом с трейдером","Nie możesz handlować. Nie jesteś blisko Tradera","Nem kereskedhetsz. Nem vagy a Trader közelében","Non puoi scambiare. Non sei nei pressi di Trader","No puedes comerciar. No estás cerca de Trader","Vous ne pouvez pas échanger. Vous n'êtes pas près de Trader","Você não pode negociar. Você não está perto do Trader","取引できません。 トレーダーの近くにいません","您不能交易。 您不在交易者附近","您不能交易。 您不在交易者附近",
"you_reach_max_market_offers_per_player","You reach max market offers per player.","You reach max market offers per player.","Du hast die maximale Anzahl an Marktangeboten pro Spieler erreicht.","Dosáhnete maximálních tržních nabídek na hráče.","Вы достигаете максимальных рыночных предложений на игрока.","Osiągasz maksymalną liczbę ofert rynkowych na gracza.","Eléri a maximális piaci ajánlatot játékosonként.","Raggiungi le massime offerte di mercato per giocatore.","Alcanza las ofertas máximas de mercado por jugador.","Vous atteignez le maximum d'offres de marché par joueur.","Você atinge o máximo de ofertas de mercado por jogador.","プレーヤーごとの最大市場オファーに到達します。","您达到每位玩家的最大市场报价。","您達到每位玩家的最大市場報價。",
